Chromosome	Start	End	NA	Strand
RUVBL2	chr19	48993562	49015970	NA	+
LHB	chr19	49015980	49017091	NA	-
CGB2	chr19	49031890	49033238	NA	+
CGB7	chr19	49054274	49058860	NA	-
NTF4	chr19	49061066	49065054	NA	-
SNRNP70	chr19	49085419	49108605	NA	+
LIN7B	chr19	49114324	49118460	NA	+
C19orf73	chr19	49118402	49119143	NA	-
PPFIA3	chr19	49119544	49151026	NA	+
TRPM4	chr19	49157741	49211836	NA	+
SLC6A16	chr19	49289638	49325215	NA	-
CD37	chr19	49335171	49343335	NA	+
TEAD2	chr19	49340595	49362457	NA	-
DKKL1	chr19	49361783	49375116	NA	+
PTH2	chr19	49422419	49423441	NA	-
GFY	chr19	49423749	49428987	NA	+
PIH1D1	chr19	49446298	49453497	NA	-
ALDH16A1	chr19	49453225	49471050	NA	+
FLT3LG	chr19	49474207	49486231	NA	+
RPL13A	chr19	49487510	49493057	NA	+
RPS11	chr19	49496365	49499708	NA	+
FCGRT	chr19	49506816	49526428	NA	+
NOSIP	chr19	49555468	49590262	NA	-
PRRG2	chr19	49580646	49591004	NA	+
PRR12	chr19	49591182	49626439	NA	+
RRAS	chr19	49635292	49640143	NA	-
SCAF1	chr19	49642209	49658642	NA	+
IRF3	chr19	49659569	49665875	NA	-
BCL2L12	chr19	49665142	49673916	NA	+
PRMT1	chr19	49675786	49689029	NA	+
ADM5	chr19	49688664	49690575	NA	+
CPT1C	chr19	49690898	49713731	NA	+
AP2A1	chr19	49767001	49807114	NA	+
FUZ	chr19	49806866	49817376	NA	-
MED25	chr19	49818282	49840383	NA	+
PTOV1	chr19	49850735	49860744	NA	+
PNKP	chr19	49859882	49878351	NA	-
AKT1S1	chr19	49869033	49878459	NA	-
TBC1D17	chr19	49877425	49888750	NA	+
IL4I1	chr19	49889654	49929539	NA	-
NUP62	chr19	49906825	49929763	NA	-
ATF5	chr19	49928702	49933935	NA	+
VRK3	chr19	49976468	50025946	NA	-
ZNF473	chr19	50025714	50053414	NA	+
MYH14	chr19	50188186	50310542	NA	+
KCNC3	chr19	50311937	50333515	NA	-
NR1H2	chr19	50329653	50383388	NA	+
NAPSA	chr19	50358477	50365830	NA	-
POLD1	chr19	50384204	50418018	NA	+
FAM71E1	chr19	50466785	50476848	NA	-
EMC10	chr19	50476400	50490871	NA	+
JOSD2	chr19	50505998	50511220	NA	-
LRRC4B	chr19	50516892	50568435	NA	-
SYT3	chr19	50621307	50639881	NA	-
C19orf81	chr19	50649445	50659310	NA	+
SHANK1	chr19	50659255	50719802	NA	-
CLEC11A	chr19	50723364	50725718	NA	+
ACP4	chr19	50790415	50795219	NA	+
KLK5	chr19	50943303	50953093	NA	-
KLK6	chr19	50958631	50969673	NA	-
KLK7	chr19	50976468	50984099	NA	-
KLK8	chr19	50996007	51002711	NA	-
KLK10	chr19	51012739	51020175	NA	-
KLK13	chr19	51055626	51065114	NA	-
CTU1	chr19	51097606	51108409	NA	-
CD33	chr19	51225064	51243860	NA	+
VSIG10L	chr19	51331536	51342139	NA	-
ETFB	chr19	51345169	51366388	NA	-
CLDND2	chr19	51367098	51369003	NA	-
ZNF175	chr19	51571283	51592510	NA	+
SPACA6	chr19	51689128	51712387	NA	+
ZNF577	chr19	51804816	51890950	NA	-
ZNF649	chr19	51889235	51905040	NA	-
ZNF613	chr19	51927147	51948759	NA	+
ZNF350	chr19	51964340	51986856	NA	-
ZNF615	chr19	51991332	52008230	NA	-
ZNF614	chr19	52012765	52030240	NA	-
ZNF432	chr19	52031378	52095738	NA	-
ZNF616	chr19	52113091	52139938	NA	-
PPP2R1A	chr19	52190048	52229518	NA	+
ZNF766	chr19	52269587	52296046	NA	+
ZNF480	chr19	52297169	52325922	NA	+
ZNF808	chr19	52527652	52564464	NA	+
ZNF701	chr19	52555457	52587174	NA	+
ZNF83	chr19	52594060	52690496	NA	-
ZNF611	chr19	52702813	52735073	NA	-
ZNF600	chr19	52749942	52786807	NA	-
ZNF28	chr19	52797408	52857600	NA	-
ZNF468	chr19	52838010	52857649	NA	-
ZNF320	chr19	52860851	52897693	NA	-
ZNF888	chr19	52904417	52923481	NA	-
ZNF816-ZNF321P	chr19	52928475	52962823	NA	-
ZNF816	chr19	52949379	52962911	NA	-
ZNF160	chr19	53066606	53103434	NA	-
ZNF845	chr19	53333749	53356906	NA	+
ZNF525	chr19	53365693	53392217	NA	+
ZNF765	chr19	53389793	53430413	NA	+
ZNF761	chr19	53431984	53461862	NA	+
MYADM	chr19	53864763	53876435	NA	+
PRKCG	chr19	53879190	53907652	NA	+
NDUFA3	chr19	54102728	54109257	NA	+
TFPT	chr19	54107020	54115657	NA	-
PRPF31	chr19	54115410	54131719	NA	+
CNOT3	chr19	54137749	54155681	NA	+
LENG1	chr19	54155161	54159721	NA	-
TMC4	chr19	54160108	54173250	NA	-
MBOAT7	chr19	54173412	54189882	NA	-
TSEN34	chr19	54189938	54194536	NA	+
RPS9	chr19	54200809	54249003	NA	+
LENG8	chr19	54448887	54462016	NA	+
LENG9	chr19	54461732	54463778	NA	-
CDC42EP5	chr19	54465026	54473296	NA	-
NLRP2	chr19	54953130	55001142	NA	+
GP6	chr19	55013705	55038264	NA	-
RDH13	chr19	55039108	55071291	NA	-
EPS8L1	chr19	55072020	55087923	NA	+
PPP1R12C	chr19	55090914	55117637	NA	-
TNNT1	chr19	55132698	55149206	NA	-
TNNI3	chr19	55151767	55157773	NA	-
DNAAF3	chr19	55158661	55166722	NA	-
SYT5	chr19	55171196	55180289	NA	-
PTPRH	chr19	55181247	55209506	NA	-
TMEM86B	chr19	55226638	55228784	NA	-
PPP6R1	chr19	55229779	55259017	NA	-
HSPBP1	chr19	55262223	55280381	NA	-
BRSK1	chr19	55282072	55312562	NA	+
KMT5C	chr19	55339853	55348121	NA	+
IL11	chr19	55364382	55370463	NA	-
TMEM238	chr19	55379244	55384292	NA	-
RPL28	chr19	55385932	55403250	NA	+
UBE2S	chr19	55399745	55407788	NA	-
ISOC2	chr19	55452985	55462343	NA	-
ZNF628	chr19	55476617	55484487	NA	+
NAT14	chr19	55485188	55487568	NA	+
ZNF579	chr19	55576774	55580848	NA	-
FIZ1	chr19	55591376	55601970	NA	-
ZNF524	chr19	55600022	55603138	NA	+
ZNF865	chr19	55605647	55617269	NA	+
ZNF784	chr19	55620741	55624566	NA	-
ZNF580	chr19	55635016	55643470	NA	+
ZNF581	chr19	55635459	55645623	NA	+
CCDC106	chr19	55641062	55653161	NA	+
U2AF2	chr19	55654146	55674716	NA	+
EPN1	chr19	55675226	55709858	NA	+
NLRP11	chr19	55785397	55836800	NA	-
NLRP4	chr19	55836540	55881855	NA	+
ZNF787	chr19	56087366	56121295	NA	-
ZNF444	chr19	56132599	56160893	NA	+
ZSCAN5A	chr19	56219670	56368383	NA	-
EDDM13	chr19	56272748	56310454	NA	+
ZNF264	chr19	57191500	57222846	NA	+
AURKC	chr19	57230802	57235548	NA	+
ZNF805	chr19	57240632	57262728	NA	+
ZNF460	chr19	57280051	57294069	NA	+
ZNF543	chr19	57320472	57330770	NA	+
ZNF304	chr19	57351271	57359898	NA	+
ZNF547	chr19	57363477	57379565	NA	+
TRAPPC2B	chr19	57363551	57365405	NA	+
ZNF548	chr19	57389850	57402992	NA	+
ZNF17	chr19	57411161	57421934	NA	+
ZNF749	chr19	57435325	57447101	NA	+
ZNF772	chr19	57466663	57477570	NA	-
ZNF419	chr19	57487711	57496098	NA	+
ZNF550	chr19	57535257	57559863	NA	-
ZNF416	chr19	57571566	57578911	NA	-
ZNF530	chr19	57599885	57612722	NA	+
ZNF134	chr19	57614233	57624724	NA	+
ZNF211	chr19	57630395	57644041	NA	+
ZNF551	chr19	57681969	57717301	NA	+
ZNF154	chr19	57696275	57709204	NA	-
ZNF671	chr19	57719751	57727624	NA	-
ZNF776	chr19	57746815	57758148	NA	+
ZNF586	chr19	57769655	57819939	NA	+
ZNF552	chr19	57803841	57814913	NA	-
ZNF587B	chr19	57819721	57846238	NA	+
ZNF814	chr19	57848731	57889074	NA	-
ZNF587	chr19	57849859	57865117	NA	+
ZNF417	chr19	57900296	57916610	NA	-
ZNF329	chr19	58126248	58155110	NA	-
ZNF274	chr19	58183029	58213562	NA	+
ZNF544	chr19	58228594	58277495	NA	+
ZNF8	chr19	58278955	58302791	NA	+
ERVK3-1	chr19	58305319	58315663	NA	+
ZSCAN22	chr19	58326994	58342332	NA	+
ZNF497	chr19	58354357	58362848	NA	-
ZNF837	chr19	58367618	58381030	NA	-
RPS5	chr19	58386400	58394806	NA	+
ZNF584	chr19	58401504	58418327	NA	+
ZNF132	chr19	58432814	58440153	NA	-
ZNF324B	chr19	58451611	58457833	NA	+
ZNF324	chr19	58467045	58475436	NA	+
ZNF446	chr19	58474017	58481230	NA	+
SLC27A5	chr19	58479512	58512413	NA	-
ZBTB45	chr19	58513530	58538911	NA	-
TRIM28	chr19	58544064	58550722	NA	+
CHMP2A	chr19	58551566	58555105	NA	-
UBE2M	chr19	58555712	58558954	NA	-
MZF1	chr19	58561931	58573575	NA	-
C20orf96	chr20	270863	290778	NA	-
ZCCHC3	chr20	297570	300321	NA	+
SOX12	chr20	325552	330224	NA	+
TRIB3	chr20	362835	397559	NA	+
RBCK1	chr20	407498	432139	NA	+
TBC1D20	chr20	423596	462566	NA	-
CSNK2A1	chr20	472498	543835	NA	-
SRXN1	chr20	646615	653200	NA	-
SLC52A3	chr20	760080	776015	NA	-
FAM110A	chr20	833715	857463	NA	+
PSMF1	chr20	1113240	1189415	NA	+
TMEM74B	chr20	1180561	1185415	NA	-
SNPH	chr20	1266280	1309328	NA	+
SDCBP2	chr20	1309909	1329139	NA	-
FKBP1A	chr20	1368977	1393164	NA	-
NSFL1C	chr20	1442162	1473842	NA	-
SIRPA	chr20	1894167	1940592	NA	+
STK35	chr20	2101827	2177038	NA	+
SNRPB	chr20	2461634	2470853	NA	-
ZNF343	chr20	2481817	2524702	NA	-
NOP56	chr20	2652593	2658393	NA	+
IDH3B	chr20	2658395	2664219	NA	-
EBF4	chr20	2692874	2760108	NA	+
PCED1A	chr20	2835314	2841190	NA	-
VPS16	chr20	2840703	2866732	NA	+
PTPRA	chr20	2873420	3039076	NA	+
MRPS26	chr20	3046052	3048250	NA	+
UBOX5	chr20	3107573	3160196	NA	-
FASTKD5	chr20	3146519	3159865	NA	-
LZTS3	chr20	3162617	3173549	NA	-
DDRGK1	chr20	3190350	3204685	NA	-
ITPA	chr20	3208868	3223870	NA	+
SLC4A11	chr20	3227417	3239559	NA	-
C20orf194	chr20	3249306	3407669	NA	-
ATRN	chr20	3471018	3651118	NA	+
HSPA12B	chr20	3732685	3753111	NA	+
C20orf27	chr20	3753508	3767781	NA	-
CENPB	chr20	3783851	3786740	NA	-
CDC25B	chr20	3786772	3806121	NA	+
AP5S1	chr20	3820524	3828838	NA	+
MAVS	chr20	3846799	3876123	NA	+
PANK2	chr20	3888839	3929887	NA	+
RNF24	chr20	3927309	4015558	NA	-
SMOX	chr20	4120980	4187747	NA	+
PRNP	chr20	4686350	4701590	NA	+
RASSF2	chr20	4780023	4823608	NA	-
SLC23A2	chr20	4852356	5010293	NA	-
TMEM230	chr20	5068232	5113103	NA	-
PCNA	chr20	5114953	5126626	NA	-
CDS2	chr20	5126879	5197887	NA	+
GPCPD1	chr20	5544439	5611006	NA	-
TRMT6	chr20	5937228	5950558	NA	-
MCM8	chr20	5950652	5998977	NA	+
CRLS1	chr20	6006093	6040053	NA	+
FERMT1	chr20	6074845	6123030	NA	-
TMX4	chr20	7977346	8019805	NA	-
PLCB1	chr20	8077251	8968360	NA	+
PLCB4	chr20	9068763	9481242	NA	+
ANKEF1	chr20	9986126	10058303	NA	+
MKKS	chr20	10401009	10434222	NA	-
SLX4IP	chr20	10435305	10636829	NA	+
JAG1	chr20	10637684	10673999	NA	-
BTBD3	chr20	11890723	11926609	NA	+
ISM1	chr20	13221274	13300651	NA	+
TASP1	chr20	13389392	13638932	NA	-
ESF1	chr20	13714322	13784919	NA	-
NDUFAF5	chr20	13785007	13821580	NA	+
KIF16B	chr20	16272104	16573448	NA	-
SNRPB2	chr20	16729961	16742564	NA	+
BFSP1	chr20	17493905	17569220	NA	-
DSTN	chr20	17570075	17609919	NA	+
RRBP1	chr20	17613678	17682295	NA	-
SNX5	chr20	17941597	17968980	NA	-
OVOL2	chr20	17956979	18059188	NA	-
MGME1	chr20	17969018	17991122	NA	+
KAT14	chr20	18137228	18188387	NA	+
PET117	chr20	18137863	18143169	NA	+
ZNF133	chr20	18288283	18316996	NA	+
DZANK1	chr20	18383367	18467281	NA	-
POLR3F	chr20	18467389	18484646	NA	+
RBBP9	chr20	18486540	18497225	NA	-
SEC23B	chr20	18507520	18561415	NA	+
SMIM26	chr20	18567347	18569563	NA	+
DTD1	chr20	18587942	18766644	NA	+
RIN2	chr20	19757606	20002457	NA	+
NAA20	chr20	20017310	20033655	NA	+
CRNKL1	chr20	20034368	20056046	NA	-
RALGAPA2	chr20	20389530	20712644	NA	-
KIZ	chr20	21125983	21246622	NA	+
XRN2	chr20	21303331	21389825	NA	+
NXT1	chr20	23350791	23354771	NA	+
GZF1	chr20	23362182	23373062	NA	+
NAPB	chr20	23374519	23421519	NA	-
CST3	chr20	23626706	23638473	NA	-
APMAP	chr20	24962925	24992751	NA	-
ENTPD6	chr20	25195693	25228075	NA	+
PYGB	chr20	25248085	25298012	NA	+
ABHD12	chr20	25294742	25390835	NA	-
GINS1	chr20	25407673	25452628	NA	+
NINL	chr20	25452697	25585531	NA	-
NANP	chr20	25612935	25624014	NA	-
ZNF337	chr20	25673195	25696853	NA	-
HM13	chr20	31514410	31577923	NA	+
MCTS2P	chr20	31547412	31548081	NA	+
ID1	chr20	31605283	31606515	NA	+
BCL2L1	chr20	31664452	31723989	NA	-
TPX2	chr20	31739271	31801805	NA	+
PDRG1	chr20	31944337	31952046	NA	-
CCM2L	chr20	32010438	32032180	NA	+
TM9SF4	chr20	32109714	32167258	NA	+
PLAGL2	chr20	32192504	32207743	NA	-
POFUT1	chr20	32207880	32238658	NA	+
KIF3B	chr20	32277651	32335011	NA	+
ASXL1	chr20	32358330	32439319	NA	+
NOL4L	chr20	32443059	32585074	NA	-
COMMD7	chr20	32702699	32743467	NA	-
DNMT3B	chr20	32762385	32809356	NA	+
MAPRE1	chr20	32819954	32850405	NA	+
CDK5RAP1	chr20	33358839	33401561	NA	-
SNTA1	chr20	33407957	33443763	NA	-
CBFA2T2	chr20	33490075	33650036	NA	+
NECAB3	chr20	33657087	33674463	NA	-
C20orf144	chr20	33662327	33665619	NA	+
E2F1	chr20	33675477	33686385	NA	-
PXMP4	chr20	33702758	33720319	NA	-
ZNF341	chr20	33731657	33792269	NA	+
CHMP4B	chr20	33811348	33854366	NA	+
RALY	chr20	33993646	34108308	NA	+
EIF2S2	chr20	34088309	34112243	NA	-
ASIP	chr20	34194569	34269344	NA	+
AHCY	chr20	34280268	34311802	NA	-
ITCH	chr20	34363241	34540748	NA	+
DYNLRB1	chr20	34516414	34540958	NA	+
PIGU	chr20	34560542	34698790	NA	-
NCOA6	chr20	34689097	34825651	NA	-
TP53INP2	chr20	34704339	34713439	NA	+
GGT7	chr20	34844720	34872856	NA	-
ACSS2	chr20	34872146	34927962	NA	+
GSS	chr20	34928432	34956027	NA	-
MYH7B	chr20	34955810	35002437	NA	+
TRPC4AP	chr20	35002404	35092807	NA	-
EDEM2	chr20	35115364	35147336	NA	-
PROCR	chr20	35172072	35216240	NA	+
MMP24OS	chr20	35201745	35278131	NA	-
MMP24	chr20	35226690	35276998	NA	+
EIF6	chr20	35278907	35284985	NA	-
UQCC1	chr20	35302566	35412031	NA	-
CEP250	chr20	35455164	35519280	NA	+
ERGIC3	chr20	35542038	35557634	NA	+
SPAG4	chr20	35615829	35621094	NA	+
CPNE1	chr20	35626031	35664956	NA	-
RBM12	chr20	35648925	35664956	NA	-
NFS1	chr20	35668052	35699355	NA	-
ROMO1	chr20	35699272	35700984	NA	+
RBM39	chr20	35701347	35742312	NA	-
PHF20	chr20	35771974	35950370	NA	+
SCAND1	chr20	35953617	35959472	NA	-
CNBD2	chr20	35954564	36030700	NA	+
EPB41L1	chr20	36091504	36232799	NA	+
AAR2	chr20	36236131	36270918	NA	+
DLGAP4	chr20	36306336	36528637	NA	+
MYL9	chr20	36541497	36551447	NA	+
TGIF2	chr20	36573488	36593950	NA	+
SLA2	chr20	36612318	36646196	NA	-
NDRG3	chr20	36651766	36746090	NA	-
DSN1	chr20	36751791	36773818	NA	-
SOGA1	chr20	36777447	36863538	NA	-
TLDC2	chr20	36876121	36894235	NA	+
SAMHD1	chr20	36890229	36951893	NA	-
RBL1	chr20	36996349	37095997	NA	-
MROH8	chr20	37101226	37179588	NA	-
RPN2	chr20	37178410	37241619	NA	+
MANBAL	chr20	37289649	37317260	NA	+
SRC	chr20	37344685	37406050	NA	+
BLCAP	chr20	37492472	37527931	NA	-
NNAT	chr20	37521206	37523690	NA	+
CTNNBL1	chr20	37693955	37872129	NA	+
TTI1	chr20	37983007	38033461	NA	-
RPRD1B	chr20	38033725	38127780	NA	+
TGM2	chr20	38127385	38166578	NA	-
RALGAPB	chr20	38472816	38578859	NA	+
ARHGAP40	chr20	38601934	38651035	NA	+
ACTR5	chr20	38748460	38772520	NA	+
FAM83D	chr20	38926312	38953106	NA	+
DHX35	chr20	38962299	39039723	NA	+
TOP1	chr20	41028822	41124487	NA	+
PLCG1	chr20	41136960	41196801	NA	+
ZHX3	chr20	41178448	41317731	NA	-
LPIN3	chr20	41340821	41360582	NA	+
EMILIN3	chr20	41359962	41366818	NA	-
CHD6	chr20	41402083	41618384	NA	-
SRSF6	chr20	43457893	43466046	NA	+
L3MBTL1	chr20	43489442	43550954	NA	+
SGK2	chr20	43558968	43588237	NA	+
IFT52	chr20	43590937	43647299	NA	+
MYBL2	chr20	43667019	43716495	NA	+
TOX2	chr20	43914852	44069616	NA	+
OSER1	chr20	44195939	44210771	NA	-
FITM2	chr20	44302840	44311202	NA	-
HNF4A	chr20	44355700	44434596	NA	+
TTPAL	chr20	44475874	44494603	NA	+
SERINC3	chr20	44496221	44522085	NA	-
PKIG	chr20	44531785	44624247	NA	+
ADA	chr20	44619522	44652233	NA	-
YWHAB	chr20	44885702	44908532	NA	+
PABPC1L	chr20	44910060	44959035	NA	+
TOMM34	chr20	44942130	44960397	NA	-
STK4	chr20	44966479	45080021	NA	+
SDC4	chr20	45325288	45348424	NA	-
SYS1	chr20	45361937	45376798	NA	+
SYS1-DBNDD2	chr20	45363200	45410610	NA	+
TP53TG5	chr20	45372557	45407889	NA	-
DBNDD2	chr20	45406057	45410610	NA	+
PIGT	chr20	45416084	45456934	NA	+
DNTTIP1	chr20	45791954	45811427	NA	+
UBE2C	chr20	45812576	45816957	NA	+
SNX21	chr20	45833799	45843276	NA	+
ACOT8	chr20	45841721	45857405	NA	-
ZSWIM3	chr20	45857614	45879122	NA	+
ZSWIM1	chr20	45881227	45885266	NA	+
CTSA	chr20	45890144	45898949	NA	+
PLTP	chr20	45898621	45912155	NA	-
PCIF1	chr20	45934683	45948023	NA	+
ZNF335	chr20	45948660	45972203	NA	-
NCOA5	chr20	46060991	46089962	NA	-
CD40	chr20	46118278	46129863	NA	+
CDH22	chr20	46173739	46308498	NA	-
SLC35C2	chr20	46345980	46364458	NA	-
ELMO2	chr20	46366050	46432985	NA	-
TP53RK	chr20	46684365	46689444	NA	-
ZMYND8	chr20	47209214	47356889	NA	-
NCOA3	chr20	47501887	47656877	NA	+
SULF2	chr20	47656348	47786616	NA	-
PREX1	chr20	48624252	48827999	NA	-
ARFGEF2	chr20	48921711	49036693	NA	+
CSE1L	chr20	49046246	49096960	NA	+
STAU1	chr20	49113339	49188367	NA	-
DDX27	chr20	49219347	49244077	NA	+
ZNFX1	chr20	49237946	49278426	NA	-
KCNB1	chr20	49293394	49484297	NA	-
B4GALT5	chr20	49632945	49713878	NA	-
SLC9A8	chr20	49812713	49892242	NA	+
SPATA2	chr20	49903391	49915529	NA	-
RNF114	chr20	49936336	49953885	NA	+
SNAI1	chr20	49982980	49988886	NA	+
UBE2V1	chr20	50081124	50115959	NA	-
CEBPB	chr20	50190830	50192668	NA	+
PTPN1	chr20	50510321	50585241	NA	+
RIPOR3	chr20	50586108	50691542	NA	-
PARD6B	chr20	50731580	50756795	NA	+
BCAS4	chr20	50794894	50877177	NA	+
ADNP	chr20	50888916	50931437	NA	-
DPM1	chr20	50934867	50959140	NA	-
MOCS3	chr20	50958818	50963929	NA	+
KCNG1	chr20	51003656	51023107	NA	-
NFATC2	chr20	51386957	51562831	NA	-
ATP9A	chr20	51596514	51768390	NA	-
SALL4	chr20	51782331	51802521	NA	-
ZFP64	chr20	52051663	52204308	NA	-
TSHZ2	chr20	52972358	53495330	NA	+
ZNF217	chr20	53567071	53609907	NA	-
CYP24A1	chr20	54153446	54173986	NA	-
PFDN4	chr20	54208087	54228052	NA	+
FAM210B	chr20	56358974	56368663	NA	+
AURKA	chr20	56369389	56392337	NA	-
CSTF1	chr20	56392371	56406362	NA	+
RTF2	chr20	56468585	56519449	NA	+
GCNT7	chr20	56491492	56525925	NA	-
FAM209A	chr20	56517187	56526152	NA	+
TFAP2C	chr20	56629306	56639283	NA	+
BMP7	chr20	57168753	57266641	NA	-
RAE1	chr20	57351223	57379211	NA	+
MTRNR2L3	chr20	57358447	57359498	NA	-
RBM38	chr20	57391396	57409333	NA	+
PMEPA1	chr20	57648392	57711536	NA	-
RAB22A	chr20	58309715	58367507	NA	+
VAPB	chr20	58389229	58451101	NA	+
STX16	chr20	58651253	58679526	NA	+
STX16-NPEPL1	chr20	58651434	58715410	NA	+
NPEPL1	chr20	58689131	58719238	NA	+
GNAS	chr20	58839718	58911192	NA	+
NELFCD	chr20	58981208	58995133	NA	+
CTSZ	chr20	58985686	59008238	NA	-
TUBB1	chr20	59019429	59026654	NA	+
ATP5F1E	chr20	59025475	59032345	NA	-
PRELID3B	chr20	59033145	59042809	NA	-
FAM217B	chr20	59933764	59948680	NA	+
PPP1R3D	chr20	59936663	59940305	NA	-
TAF4	chr20	61953469	62065881	NA	-
LSM14B	chr20	62122461	62135374	NA	+
PSMA7	chr20	62136733	62143440	NA	-
SS18L1	chr20	62143769	62182514	NA	+
MTG2	chr20	62183028	62203568	NA	+
OSBPL2	chr20	62231922	62296213	NA	+
ADRM1	chr20	62302093	62308862	NA	+
LAMA5	chr20	62307955	62367312	NA	-
RPS21	chr20	62387103	62388520	NA	+
CABLES2	chr20	62388632	62407285	NA	-
RBBP8NL	chr20	62410237	62427539	NA	-
SLCO4A1	chr20	62642503	62685785	NA	+
NTSR1	chr20	62708836	62762771	NA	+
MRGBP	chr20	62796473	62801729	NA	+
OGFR	chr20	62804835	62814000	NA	+
COL9A3	chr20	62816244	62841159	NA	+
TCFL5	chr20	62841005	62861822	NA	-
DIDO1	chr20	62877738	62937952	NA	-
GID8	chr20	62938147	62948475	NA	+
SLC17A9	chr20	62952707	62969585	NA	+
YTHDF1	chr20	63195429	63216139	NA	-
ARFGAP1	chr20	63272785	63289790	NA	+
KCNQ2	chr20	63400208	63472677	NA	-
EEF1A2	chr20	63488013	63499239	NA	-
PPDPF	chr20	63520765	63522206	NA	+
PTK6	chr20	63528001	63537376	NA	-
SRMS	chr20	63538489	63547749	NA	-
FNDC11	chr20	63547891	63556695	NA	+
HELZ2	chr20	63558086	63574239	NA	-
GMEB2	chr20	63587602	63627101	NA	-
STMN3	chr20	63639705	63657682	NA	-
RTEL1	chr20	63657810	63696253	NA	+
RTEL1-TNFRSF6B	chr20	63659300	63698684	NA	+
TNFRSF6B	chr20	63696652	63698684	NA	+
ARFRP1	chr20	63698642	63708025	NA	-
ZGPAT	chr20	63707465	63736142	NA	+
LIME1	chr20	63736283	63739103	NA	+
SLC2A4RG	chr20	63739776	63744050	NA	+
ZBTB46	chr20	63743668	63832038	NA	-
ABHD16B	chr20	63861498	63862988	NA	+
TPD52L2	chr20	63865228	63891545	NA	+
DNAJC5	chr20	63895126	63936031	NA	+
UCKL1	chr20	63939829	63956416	NA	-
ZNF512B	chr20	63956704	63969930	NA	-
SAMD10	chr20	63974116	63980008	NA	-
PRPF6	chr20	63981132	64033100	NA	+
SOX18	chr20	64047582	64049639	NA	-
TCEA2	chr20	64049836	64072347	NA	+
RGS19	chr20	64073181	64079988	NA	-
OPRL1	chr20	64080082	64100643	NA	+
MYT1	chr20	64102394	64242253	NA	+
PCMTD2	chr20	64255695	64287821	NA	+
HSPA13	chr21	14371115	14383484	NA	-
NRIP1	chr21	14961235	15065936	NA	-
USP25	chr21	15729982	15880064	NA	+
CXADR	chr21	17513043	17593579	NA	+
BTG3	chr21	17593653	17612945	NA	-
C21orf91	chr21	17788974	17819386	NA	-
MRPL39	chr21	25585656	25607517	NA	-
ATP5PF	chr21	25716503	25735673	NA	-
GABPA	chr21	25734570	25772460	NA	+
APP	chr21	25880550	26171128	NA	-
N6AMT1	chr21	28872191	28885371	NA	-
LTN1	chr21	28928144	28992956	NA	-
RWDD2B	chr21	29004384	29019360	NA	-
USP16	chr21	29024629	29054488	NA	+
CCT8	chr21	29055805	29073797	NA	-
BACH1	chr21	29194071	29630751	NA	+
TIAM1	chr21	31118416	31559977	NA	-
SOD1	chr21	31659666	31668931	NA	+
SCAF4	chr21	31671000	31732118	NA	-
MIS18A	chr21	32268228	32279049	NA	-
MRAP	chr21	32291813	32314784	NA	+
URB1	chr21	32311018	32393012	NA	-
EVA1C	chr21	32412006	32515397	NA	+
SYNJ1	chr21	32628759	32728040	NA	-
PAXBP1	chr21	32733899	32771792	NA	-
IFNAR2	chr21	33205282	33265675	NA	+
IL10RB	chr21	33266367	33310187	NA	+
IFNAR1	chr21	33324429	33359864	NA	+
IFNGR2	chr21	33403413	33479348	NA	+
TMEM50B	chr21	33432485	33479974	NA	-
DNAJC28	chr21	33485530	33491716	NA	-
GART	chr21	33503931	33543491	NA	-
SON	chr21	33543038	33577481	NA	+
DONSON	chr21	33559542	33588706	NA	-
CRYZL1	chr21	33589341	33643926	NA	-
ITSN1	chr21	33642400	33899861	NA	+
ATP5PO	chr21	33903453	33915814	NA	-
MRPS6	chr21	34073224	34143034	NA	+
SLC5A3	chr21	34073578	34106260	NA	+
RCAN1	chr21	34513142	34615113	NA	-
RUNX1	chr21	34787801	36004667	NA	-
SETD4	chr21	36034541	36079389	NA	-
CBR3	chr21	36135079	36146562	NA	+
MORC3	chr21	36320189	36386148	NA	+
CHAF1B	chr21	36385392	36419015	NA	+
SIM2	chr21	36699115	36749917	NA	+
HLCS	chr21	36748626	36990236	NA	-
PIGP	chr21	37062846	37073170	NA	-
TTC3	chr21	37073226	37203112	NA	+
VPS26C	chr21	37223420	37267919	NA	-
DYRK1A	chr21	37365573	37526358	NA	+
ETS2	chr21	38805183	38824955	NA	+
PSMG1	chr21	39174769	39183488	NA	-
BRWD1	chr21	39184176	39321559	NA	-
HMGN1	chr21	39342315	39349647	NA	-
LCA5L	chr21	39405728	39445805	NA	-
SH3BGR	chr21	39445855	39515506	NA	+
B3GALT5	chr21	39556442	39673137	NA	+
BACE2	chr21	41167801	41282530	NA	+
MX1	chr21	41420020	41470071	NA	+
RIPK4	chr21	41739369	41767089	NA	-
PRDM15	chr21	41798225	41879482	NA	-
C2CD2	chr21	41885112	41954018	NA	-
ZBTB21	chr21	41986831	42010387	NA	-
ABCG1	chr21	42199689	42297244	NA	+
RSPH1	chr21	42472486	42496246	NA	-
SLC37A1	chr21	42496008	42581440	NA	+
PDE9A	chr21	42653621	42775509	NA	+
WDR4	chr21	42843094	42879568	NA	-
NDUFV3	chr21	42879644	42913304	NA	+
PKNOX1	chr21	42974510	43033931	NA	+
